Autor;anyo;Titulo;Pais/Estudios;Efectividad(transmision);Efectividad(Infeccion);Efectividad(Hospitalizacion);Efectividad(Uci);Efectividad(Muerte);Pfizer;Moderna;J&J;Astrazeneca;Sinopharm;Reduccion;Link
Lytras;2022;Comparative effectiveness and durability of COVID-19 vaccination against death and severe disease in an ongoing nationwide mass vaccination campaign;Grecia;;;;90;90;1;1;1;1;0;0;https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.27934
Bouillon;2022;Effectiveness of BNT162b2 mRNA-1273, and ChAdOx1-S vaccines against severe covid-19 outcomes in a nationwide mass vaccination setting: cohort study;Francia;;;92;;1;1;1;0;1;0;0;https://bmjmedicine.bmj.com/content/1/1/e000104.abstract
Petrelli;2022;Third dose of SARS-CoV-2 vaccine: A systematic review of 30 published studies;30 estudios;;90;;;;1;1;0;0;0;0;https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.27644?casa_token=4EGxxT5N0WEAAAAA%3Av9knnheM1Qf7bfY0olSzwiqz71CXBTBbuohor9kZnFXv4GPfsOicTp74BEIqWN-M4t015qpMI6pLf0dbcQ
Braeye;2022;Vaccine effectiveness against onward transmission of SARS-CoV2-infection by variant of concern and time since vaccination, Belgian contact tracing,2021;Belgica;70;92;;;;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S0264410X22004418
Puranik;2022;Durability analysis of the highly effective mRNA-1273 vaccine against COVID-19;Estados Unidos;;80;;;;0;1;0;0;0;0;https://academic.oup.com/pnasnexus/article/1/2/pgac058/6590065?login=true
Yi;2022;Impact of national Covid-19 vaccination Campaign, South Korea;Korea;;63;93;93;95;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S0264410X22005722?casa_token=vvjwoQV6GjIAAAAA:bwOj_AuI_nDf4M1ZCD8DmIZW0GOPntSH4phGLHuo1jh2lfFFw_K1AWLxA-d8T2w5UZov6u-Ps6DT
Thygesen;2022;COVID-19 trajectories among 57 million adults in England: a cohort study using electronic health records;Inglaterra;;80;85;90;95;1;0;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S2589750022000917#fig5
Lin;2022;Durability of Protection Against Symptomatic COVID-19 Among Participants of the mRNA-1273 SARS-CoV-2 Vaccine Trial;Estados Unidos;;90;;;;0;1;0;0;0;0;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2793157
Kaabi;2022;Effectiveness of BBIBP-CorV vaccine against severe outcomes of COVID-19 in Abu Dhabi, United Arab Emirates;Emiratos Arabes;;;79;86;84;0;0;0;0;1;0;https://www.nature.com/articles/s41467-022-30835-1
McKeigue;2022;Vaccine efficacy against severe COVID-19 in relation to delta variant (B.1.617.2) and time since second dose in patients in Scotland (REACT-SCOT): a case-control study;Escocia;;;88;70;88;1;1;0;1;0;0;https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(22)00045-5/fulltext#:~:text=A%20study%20based%20on%20this,80%25%20for%20the%20Pfizer%20vaccine
Monge;2022;Effectiveness of mRNA vaccine boosters against infection with the SARS-CoV-2 omicron (B.1.1.529) variant in Spain: a nationwide cohort study;Espanya;;60;;;;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S1473309922002924
Di Fusco;2022;Public health impact of the Pfizer-BioNTech COVID-19 vaccine (BNT162b2) in the first year of rollout in the United States;Estados Unidos;;70;80;85;95;1;0;0;0;0;1;https://www.tandfonline.com/doi/full/10.1080/13696998.2022.2071427
AlQahtani;2022;Post-vaccination outcomes in association with four COVID-19 vaccines in the Kingdom of Bahrain;Bahrain;;60;70;90;95;1;0;0;1;1;0;https://www.nature.com/articles/s41598-022-12543-4#Tab1
Ying Au;2022;Effectiveness of heterologous and homologous covid-19 vaccine regimens: living systematic review with network meta-analysis;53 estudios;;90;95;;;1;1;1;1;0;0;https://www.bmj.com/content/377/bmj-2022-069989
Jung;2022; Transmission and Infectious SARS-CoV-2 Shedding Kinetics in Vaccinated and Unvaccinated Individuals;Estados Unidos;40;;;;;1;1;0;1;0;0;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2792598
Gao;2022;Effectiveness and Safety of SARS-CoV-2 Vaccines among Children and Adolescents: A Systematic Review and Meta-Analysis;13 estudios;;90;;;;1;1;1;1;0;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-00421/article_deploy/vaccines-10-00421-v2.pdf?version=1653291766
Higdon;2022;A Systematic Review of Coronavirus Disease 2019 Vaccine Efficacy and Effectiveness Against Severe Acute Respiratory Syndrome Coronavirus 2 Infection and Disease;107 estudios;;70;90;92;95;1;1;1;1;1;0;https://academic.oup.com/ofid/article/9/6/ofac138/6570021?login=true
Accorsi;2022;Effectiveness of Homologous and Heterologous Covid-19 Boosters against Omicron;Estados Unidos,Puerto Rico;;60;;;;0;1;1;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMc2203165
Marra;2022;Effectiveness of heterologous COVID-19 vaccine booster dosing in Brazilian healthcare workers,2021;Brasil;;80;;;;0;0;0;0;0;0;https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciac430/6594056?login=false
Castillo;2022;Vaccine effectiveness and duration of protection against symptomatic infections and severe Covid-19 outcomes in adults aged 50 years and over, France, January to mid-December 2021;Francia;;53;90;92;89;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S2590113322000062#f0015
Drawz;2022;Effectiveness of BNT162b2 and mRNA-1273 Second Doses and Boosters for SARS-CoV-2 infection and SARS-CoV-2 Related Hospitalizations: A Statewide Report from the Minnesota Electronic Health Record Consortium;Estados Unidos;;;90;;;1;1;0;0;0;0;https://web.archive.org/web/20220112062052id_/https://www.medrxiv.org/content/medrxiv/early/2022/01/10/2021.12.23.21267853.full.pdf
Kirsebom;2022;COVID-19 vaccine effectiveness against the omicron (BA.2) variant in England;Inglaterra;;60;70;;;1;1;0;1;0;0;https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(22)00309-7/fulltext
Paranthaman;2022;Effectiveness of BNT162b2 and ChAdOx-1 vaccines in residents of long-term care facilities in England using a time-varying proportional hazards model ;Inglaterra;;65;;;88;1;0;0;1;0;0;https://academic.oup.com/ageing/article-abstract/51/5/afac115/6589804?redirectedFrom=fulltext&login=false
Tenforde;2022;Protection of mRNA vaccines against hospitalized COVID-19 in adults over the first year following authorization in the United States;Estados Unidos;;;85;;;1;1;0;0;0;0;https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciac381/6587132?login=false
Valladares-Garrido;2022; COVID-19 Vaccine Effectiveness at a Referral Hospital in Northern Peru: A Retrospective Cohort Study ;Peru;;;;;50;1;0;0;1;1;0;https://www.mdpi.com/2076-393X/10/5/812/htm
Al-Aly;2022;Long COVID after breakthrough SARS-CoV-2 infection;Estados Unidos;;15;;;34;1;1;1;0;0;1;https://www.nature.com/articles/s41591-022-01840-0
Arbel;2022;How many lives do COVID vaccines save? Evidence from Israel;Israel;;;;;90;1;0;0;0;0;1;https://www.ajicjournal.org/article/S0196-6553(21)00856-7/fulltext
Bixby;2022;The Effectiveness of Pfizer-BioNTech and Oxford-AstraZeneca Vaccines to Prevent Severe COVID-19 in Costa Rica: Nationwide, Ecological Study of Hospitalization Prevalence;Costa Rica;;;89;;;1;0;0;1;0;0;https://publichealth.jmir.org/2022/5/e35054/
Vitek;2022;mRNA vaccine effectiveness against hospitalisation due to severe acute respiratory infection (SARI) COVID-19 during Omicron variant predominance estimated from real-world surveillance data, Slovenia, February to March 2022;Eslovenia;;;81;;;1;1;0;0;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2022.27.20.2200350?crawler=true#html_fulltext
Puranik;2022; Durability analysis of the highly effective mRNA-1273 vaccine against COVID-19 ;Estados Unidos;;60;;;;0;1;0;0;0;0;https://academic.oup.com/pnasnexus/advance-article/doi/10.1093/pnasnexus/pgac058/6590065?login=false
Ayoubkhani;2022;Trajectory of long covid symptoms after covid-19 vaccination: community based cohort study;Reino Unido;;40;;;;1;1;0;1;0;1;https://www.bmj.com/content/377/bmj-2021-069676
Fano;2022; COVID-19 vaccines coverage and effectiveness against SARS-CoV-2 infection among residents in the largest Health Authority of Lazio region (Italy): a population-based cohort study;Italia;;69;;;;1;0;0;0;0;0;https://www.tandfonline.com/doi/abs/10.1080/14760584.2022.2080057
Vitek;2022;mRNA vaccine effectiveness against hospitalisation due to severe acute respiratory infection (SARI) COVID-19 during Omicron variant predominance estimated from real-world surveillance data, Slovenia, February to March 2022;Eslovenia;;;92;;;1;1;0;0;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2022.27.20.2200350
Zarabanda;2022;Impact of SARS-CoV-2 vaccination in healthcare workers at a network of Clinics in Latin America;Colombia;;70;;;;1;0;0;0;0;0;https://www.sciencedirect.com/science/article/pii/S2772707622000674
Flemming-Dutra;2022;Association of Prior BNT162b2 COVID-19 Vaccination With Symptomatic SARS-CoV-2 Infection in Children and Adolescents During Omicron Predominance;Estados Unidos;;71;;;;1;0;0;0;0;0;https://jamanetwork.com/journals/jama/articlepdf/2792524/jama_flemingdutra_2022_oi_220049_1652374880.58201.pdf
Maeda;2022; Effectiveness of mRNA COVID-19 vaccines against symptomatic SARS-CoV-2 infections during the Delta variant epidemic in Japan: Vaccine Effectiveness Real-time Surveillance for SARS-CoV-2 (VERSUS) ;Japon;;86;;;;1;1;0;0;0;0;https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciac292/6570603?login=false
Mirahmadizadeh;2022;Effectiveness of COVID-19 Vaccines in Preventing Infection, Hospital Admission and Death: A Historical Cohort Study Using Iranian Registration Data During Vaccination program;Iran;;;85;;85;0;0;0;1;1;1;https://academic.oup.com/ofid/advance-article/doi/10.1093/ofid/ofac177/6582699?login=false
Adam;2022;SARS-CoV-2 mRNA vaccine effectiveness in healthcare workers by dosing interval and time since vaccination: test negative design, British Columbia, Canada;Canada;;80;;;;1;1;0;0;0;0;https://www.scienceopen.com/document_file/58d26766-3585-473a-8438-6bcba9a1b1ae/PubMedCentral/58d26766-3585-473a-8438-6bcba9a1b1ae.pdf
Zisis;2022; The protective effect of covid-19 vaccination on post-acute sequelae of covid-19 (pasc): a multicenter study from a large national health research network ;Estados Unidos;;60;;;70;1;1;1;1;0;1;https://academic.oup.com/ofid/advance-article-abstract/doi/10.1093/ofid/ofac228/6582238
Ssentongo;2022;SARS-CoV-2 vaccine effectiveness against infection, symptomatic and severe COVID-19: a systematic review and meta-analysis;18 estudios;;54;90;90;90;1;1;1;1;0;0;https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07418-y
Wang;2022;Population-Level Effectiveness of COVID-19 Vaccination Program in the United States: Causal Analysis Based on Structural Nested Mean Model;Estados Unidos;;63;;;;1;1;1;1;1;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-00726/article_deploy/vaccines-10-00726-v2.pdf?version=1652172494
Bjork;2022; COVID-19 vaccine effectiveness against severe disease from SARS-CoV-2 Omicron BA.1 and BA.2 subvariants – surveillance results from southern Sweden, December 2021 to March 2022;Suecia;;;80;80;80;1;1;0;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2022.27.18.2200322?crawler=true
Hyam;2022;Breakthrough SARS-CoV-2 infections in double and triple vaccinated adults and single dose vaccine effectiveness among children in Autumn 2021 in England: REACT-1 study;Inglaterra;;65;;;;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S2589537022001493
Mukherjee;2022;Measuring vaccine effectiveness from limited public health datasets: Framework and estimates from India’s second COVID wave;India;;55;80;85;85;0;0;0;1;0;0;https://www.science.org/doi/pdf/10.1126/sciadv.abn4274
Gray;2022;Effectiveness of Ad26.COV2.S and BNT162b2 Vaccines against Omicron Variant in South Africa;Africa del Sur;;;73;75;;1;0;1;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMc2202061
Wen-xin;2022;Effectiveness of NPIs and vaccine coverage in the prevention and control of COVID-19 epidemic - an ecological comparative study among Australia, Korea, Singapore, Israel and India;Australia,Korea,Singapu,Israel,India;;;;;60;1;1;1;1;1;1;http://zgggws.xml-journal.net/en/article/doi/10.11847/zgggws1138325
Feikin;2022;Assessing vaccine effectiveness against severe COVID-19 disease caused by omicron variant. Report from a meeting of the World Health Organization;21 estudios;;;70;75;85;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S0264410X22005230
Islam;2022;Comparative effectiveness over time of the mRNA-1273 (Moderna) vaccine and the BNT162b2 (Pfizer-BioNTech) vaccine;Estados Unidos;;69;76;75;75;1;1;0;0;0;0;https://www.nature.com/articles/s41467-022-30059-3
Husin;2022;Real-world effectiveness of BNT162b2 vaccine against SARS-CoV-2 infection among adolescents (12 to 17-year-olds) in Malaysia;Malasia;;67;;;;1;0;0;0;0;0;https://www.ijidonline.com/article/S1201-9712(22)00251-X/fulltext
Suthar;2022;Public health impact of covid-19 vaccines in the United States: observational study;Estados Unidos;;90;;;95;1;1;1;1;0;1;https://www.bmj.com/content/bmj/377/bmj-2021-069317.full.pdf
Tartof;2022;Durability of BNT162b2 vaccine against hospital and emergency department admissions due to the omicron and delta variants in a large health system in the USA: a test-negative case–control study;Estados Unidos;;;65;;60;1;0;0;0;0;0;https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(22)00101-1/fulltext
Sharma;2022;Effectiveness of mRNA-based vaccines during the emergence of SARS-CoV-2 Omicron variant ;Estados Unidos;;55;84;;90;1;1;0;0;0;0;https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciac325/6574744?login=false
Jara;2022;Effectiveness of homologous and heterologous booster doses for an inactivated SARS-CoV-2 vaccine: a large-scale prospective cohort study;Chile;;78;95;94;95;1;0;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S2214109X22001127#!
Kildegaard;2022;Risk of adverse events after covid-19 in Danish children and adolescents and effectiveness of BNT162b2 in adolescents: cohort study;Dinamarca;;92;;;;1;0;0;0;0;0;https://www.bmj.com/content/377/bmj-2021-068898
Menni;2022;COVID-19 vaccine waning and effectiveness and side-effects of boosters: a prospective community study from the ZOE COVID Study;Reino Unido;;78;84;;;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S1473309922001463?via%3Dihub#!
Tan;2022;COVID-19 Vaccination and Estimated Public Health Impact in California;Estados Unidos;;72;80;;90;1;1;1;1;0;0;https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2791453/tan_2022_oi_220259_1650475590.79771.pdf
Sheikh;2022;Severity of omicron variant of concern and effectiveness of vaccine boosters against symptomatic disease in Scotland (EAVE II): a national cohort study with nested test-negative design;Escocia;;57;;;;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S1473309922001414
Waxman;2022;Comparing COVID-19-related hospitalization rates among individuals with infection-induced and vaccine-induced immunity in Israel;Israel;;;89;;;1;1;0;1;0;0;https://www.nature.com/articles/s41467-022-29858-5
Martellucci;2022;Effectiveness of COVID-19 Vaccines in the General Population of an Italian Region before and during the Omicron Wave;Italia;;;80;;90;1;1;0;1;0;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-00662/article_deploy/vaccines-10-00662.pdf?version=1650611696
Eick-Cost;2022;Effectiveness of mRNA-1273, BNT162b2, and JNJ-78436735 COVID-19 Vaccines Among US Military Personnel Before and During the Predominance of the Delta Variant ;Estados Unidos;;82;85;;;1;1;1;0;0;0;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2791306
Tartof;2022;Durability of BNT162b2 vaccine against hospital and emergency department admissions due to the omicron and delta variants in a large health system in the USA: a test-negative case–control study;Estados Unidos;;;70;60;;1;0;0;0;0;0;https://www.sciencedirect.com/science/article/pii/S2213260022001011
Arbel;2022;Effectiveness of a second BNT162b2 booster vaccine against hospitalization and death from COVID-19 in adults aged over 60 years;Israel;;;64;;78;1;0;0;0;0;0;https://www.nature.com/articles/s41591-022-01832-0_reference.pdf
Singh;2022;Impact of COVID-19 Vaccination: A Global Perspective;Todo el mundo;;40;55;55;;1;1;1;1;1;1;https://deliverypdf.ssrn.com/delivery.php?ID=548111106089095068017097114073067027053025063038087091093007003030126024062054031121119068024105099102105095102107086110103103076127114104048046112041116085006076005025010092026027027067035028046017011003120088081044067115087108124120081097119090007125015110007071113068074094080082004021086126&EXT=pdf
Castillo;2022;Vaccine-induced and naturally-acquired protection against Omicron and Delta symptomatic infection and severe COVID-19 outcomes, France, December 2021 to January 2022;Francia;;54;85;85;85;1;1;1;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2022.27.16.2200250
Harris;2022;COVID-19 Incidence and hospitalization during the delta surge were inversely related to vaccination coverage among the most populous U.S. Counties;Estados Unidos;;28;44;;16;1;1;1;1;0;1;https://www.sciencedirect.com/science/article/pii/S2211883721001064#bib0039
Andreregg;2022;Assessing real-world vaccine effectiveness against severe forms of SARS-CoV-2 infection: an observational study from routine surveillance data in Switzerland ;Suiza;;;92;;90;1;1;0;0;0;0;https://smw.ch/article/doi/smw.2022.w30163
Magen;2022;Fourth Dose of BNT162b2 mRNA Covid-19 Vaccine in a Nationwide Setting;Israel;;45;68;64;74;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2201688
Adam;2022; SARS-CoV-2 mRNA vaccine effectiveness in healthcare workers by dosing interval and time since vaccination: test negative design, British Columbia, Canada ;Canada;;91;;;;1;1;0;0;0;0;https://academic.oup.com/ofid/advance-article/doi/10.1093/ofid/ofac178/6569147?login=false
Banho;2022;Impact of SARS-CoV-2 Gamma lineage introduction and COVID-19 vaccination on the epidemiological landscape of a Brazilian city;Brasil;;21;55;55;58;1;0;1;1;0;1;https://www.nature.com/articles/s43856-022-00108-5
Premikha;2022; Comparative Effectiveness of mRNA and Inactivated Whole Virus Vaccines against COVID-19 Infection and Severe Disease in Singapore ;Singapur;;;78;78;78;0;1;0;1;1;0;https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciac288/6567428?login=false
Smith;2022;COVID-19 Mortality and Vaccine Coverage — Hong Kong Special Administrative Region, China, January 6, 2022–March 21, 2022;China;;;;85;90;1;0;0;0;0;0;https://www.cdc.gov/mmwr/volumes/71/wr/mm7115e1.htm?s_cid=mm7115e1_w
Puhach;2022;Infectious viral load in unvaccinated and vaccinated individuals infected with ancestral, Delta or Omicron SARS-CoV-2;Suiza;40;;;;;1;1;1;1;0;1;https://www.nature.com/articles/s41591-022-01816-0_reference.pdf
Marra;2022;Effectiveness of two coronavirus disease 2019 (COVID-19) vaccines (viral vector and inactivated viral vaccine) against severe acute respiratory coronavirus virus 2 (SARS-CoV-2) infection in a cohort of healthcare workers;Brasil;;68;;;;0;0;0;1;0;0;https://www.cambridge.org/core/journals/infection-control-and-hospital-epidemiology/article/effectiveness-of-two-covid19-vaccines-viral-vector-and-inactivated-viral-vaccine-against-sarscov2-infection-in-a-cohort-of-healthcare-workers/517B8C08DED6EEB0E96257AD90F939AA
Rivasi;2022;Long-term effects of SARS-CoV-2 vaccination in the nursing home setting;Italia;40;;30;;50;1;0;0;0;0;1;https://agsjournals.onlinelibrary.wiley.com/doi/full/10.1111/jgs.17773
Gladman-Freedman;2022; Effectiveness of BNT162b2 Vaccine Booster against SARS-CoV-2 Infection and Breakthrough Complications, Israel ;Israel;;70;80;;;1;0;0;0;0;0;https://wwwnc.cdc.gov/eid/article/28/5/22-0141_article
Cerqueira-Silva;2022;Effectiveness of CoronaVac, ChAdOx1 nCoV-19, BNT162b2, and Ad26.COV2.S among individuals with previous SARS-CoV-2 infection in Brazil: a test-negative, case-control study;Brasil;;40;85;;;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S1473309922001402
Pardo-Seco;2022;Evaluation of BNT162b2 Vaccine Effectiveness in Galicia, Northwest Spain;Espanya;;92;60;88;88;1;1;0;0;0;0;https://mdpi-res.com/d_attachment/ijerph/ijerph-19-04039/article_deploy/ijerph-19-04039-v2.pdf
Price;2022;BNT162b2 Protection against the Omicron Variant in Children and Adolescents;Estados Unidos;;;70;;;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2202826
